date,virus,Sample Name,template,num_reps,median,count,at_least_3CTvals,Well,Well Position,CT,Replicate,sample_type,medDist1_method,count2,at_least_3CTvals_aftOut
03-24,WSSV,1e6_Pvan019,1e+06,3,6.3342147,3,keep,12,A12,6.37046,3,STD,keep,3,keep
03-24,WSSV,1e6_VP28,1e+06,3,8.7395935,3,keep,6,A6,8.607365,3,STD,keep,2,keep
03-24,WSSV,1e6_VP28,1e+06,3,8.7395935,3,keep,4,A4,8.7395935,1,STD,keep,2,keep
03-24,WSSV,1e6_VP28,1e+06,3,8.7395935,3,keep,5,A5,10.50271,2,STD,remove,2,NA
03-24,WSSV,1e6_VP28.31t,1e+06,3,NA,0,remove,1,A1,NA,1,STD,NA,NA,NA
03-24,WSSV,1e6_VP28.31t,1e+06,3,NA,0,remove,3,A3,NA,3,STD,NA,NA,NA
03-24,WSSV,1e6_VP28.31t,1e+06,3,NA,0,remove,2,A2,NA,2,STD,NA,NA,NA
03-29,WSSV,1e1_VP28.31t,1e+01,5,14.151141,1,remove,32,C8,NA,3,STD,NA,NA,NA
03-29,WSSV,1e1_VP28.31t,1e+01,5,14.151141,1,remove,33,C9,14.151141,4,STD,NA,NA,NA
03-29,WSSV,1e1_VP28.31t,1e+01,5,14.151141,1,remove,34,C10,NA,5,STD,NA,NA,NA
03-29,WSSV,1e1_VP28.31t,1e+01,5,14.151141,1,remove,30,C6,NA,1,STD,NA,NA,NA
03-29,WSSV,1e1_VP28.31t,1e+01,5,14.151141,1,remove,31,C7,NA,2,STD,NA,NA,NA
03-29,WSSV,1e10_VP28.31t,1e+10,5,3.0385423,5,keep,13,B1,3.1006176,1,STD,keep,5,keep
03-29,WSSV,1e10_VP28.31t,1e+10,5,3.0385423,5,keep,16,B4,2.998164,4,STD,keep,5,keep
03-29,WSSV,1e10_VP28.31t,1e+10,5,3.0385423,5,keep,17,B5,3.0151427,5,STD,keep,5,keep
03-29,WSSV,1e10_VP28.31t,1e+10,5,3.0385423,5,keep,15,B3,3.0385423,3,STD,keep,5,keep
03-29,WSSV,1e10_VP28.31t,1e+10,5,3.0385423,5,keep,14,B2,3.1215086,2,STD,keep,5,keep
03-29,WSSV,1e11_VP28.31t,1e+11,5,2.305505,5,keep,5,A5,2.2935207,5,STD,keep,5,keep
03-29,WSSV,1e11_VP28.31t,1e+11,5,2.305505,5,keep,2,A2,2.3110118,2,STD,keep,5,keep
03-29,WSSV,1e11_VP28.31t,1e+11,5,2.305505,5,keep,1,A1,2.3283358,1,STD,keep,5,keep
03-29,WSSV,1e11_VP28.31t,1e+11,5,2.305505,5,keep,4,A4,2.2844815,4,STD,keep,5,keep
03-29,WSSV,1e11_VP28.31t,1e+11,5,2.305505,5,keep,3,A3,2.305505,3,STD,keep,5,keep
