* Barcode = NA
* Block Type = Fast 96-Well Block (0.1mL)
* Calibration Background is expired  = No
* Calibration Background performed on = 02-18-2022
* Calibration Normalization FAM-ROX is expired = Yes
* Calibration Normalization FAM-ROX performed on = 01-27-2021
* Calibration Normalization VIC-ROX is expired = Yes
* Calibration Normalization VIC-ROX performed on = 01-27-2021
* Calibration Pure Dye FAM is expired = Yes
* Calibration Pure Dye FAM performed on = 01-27-2021
* Calibration Pure Dye ROX is expired = Yes
* Calibration Pure Dye ROX performed on = 01-27-2021
* Calibration Pure Dye VIC is expired = Yes
* Calibration Pure Dye VIC performed on = 01-27-2021
* Calibration ROI is expired  = No
* Calibration ROI performed on = 02-18-2022
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 01-27-2021
* Chemistry = TAQMAN
* Comment = NA
* Date Created = 02-23-2022 13:02:58 PM EST
* Date Modified = 02-23-2022 16:36:10 PM EST
* Experiment File Name = E:\2022-02-22 TSV high-low background.eds
* Experiment Name = 2022-02-22 TSV high-low background
* Experiment Run Start Time = 02-23-2022 23:14:49 PM EST
* Experiment Run Stop Time = 02-24-2022 00:48:46 AM EST
* Experiment Type = Standard Curve
* Instrument Name = 285881139
* Instrument Serial Number = 285881139
* Instrument Type = QuantStudio 12K Flex
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 1, Step 1
* User Name = NA

[Multicomponent Data]
Well	Well Position	Cycle	ROX	FAM	VIC
62	      F2	4	67,099.336	2,190,799.500	474,428.094
63	      F3	4	67,229.609	2,101,887.750	424,215.125
64	      F4	4			
65	      F5	4			
66	      F6	4			
67	      F7	4			
68	      F8	4			
69	      F9	4			
70	      F10	4			
71	      F11	4			
72	      F12	4			
73	      G1	4	45,553.879	2,022,157.125	374,902.188
74	      G2	4	68,004.617	2,083,025.875	411,779.188
75	      G3	4	64,143.191	2,025,413.250	411,275.312
76	      G4	4			
77	      G5	4			
78	      G6	4			
79	      G7	4			
80	      G8	4			
81	      G9	4			
82	      G10	4			
83	      G11	4			
84	      G12	4			
85	      H1	4	25,166.586	2,058,254.250	405,574.281
86	      H2	4	62,034.539	1,896,403.750	429,471.719
87	      H3	4	92,847.648	1,996,717.875	443,056.281
88	      H4	4			
89	      H5	4			
90	      H6	4			
91	      H7	4			
92	      H8	4			
93	      H9	4			
94	      H10	4			
95	      H11	4			
96	      H12	4			
1	      A1	5	74,788.805	2,705,452.000	510,402.375
2	      A2	5	72,570.906	2,749,957.500	491,909.250
3	      A3	5	78,224.055	2,877,075.750	544,569.500
4	      A4	5	74,312.094	2,761,114.750	534,139.938
5	      A5	5	80,340.164	2,841,526.500	554,738.688
6	      A6	5	86,684.219	2,807,157.500	552,301.688
7	      A7	5			
8	      A8	5			
9	      A9	5			
10	      A10	5			
11	      A11	5			
12	      A12	5			
13	      B1	5	70,895.578	2,882,253.500	504,131.625
14	      B2	5	71,780.633	2,921,963.000	528,116.438
15	      B3	5	70,119.141	2,861,168.250	522,199.438
16	      B4	5	63,501.312	2,714,314.500	500,326.188
17	      B5	5	102,813.047	2,664,084.500	743,371.875
18	      B6	5	78,392.977	2,675,074.250	521,327.938
19	      B7	5			
20	      B8	5			
21	      B9	5			
22	      B10	5			
23	      B11	5			
24	      B12	5			
25	      C1	5	72,181.875	2,828,729.500	481,016.375
26	      C2	5	71,399.539	2,850,447.500	527,292.125
27	      C3	5	71,243.961	2,754,861.750	453,563.000
28	      C4	5	71,369.023	2,840,925.250	480,626.250
29	      C5	5	63,937.797	2,616,957.750	467,905.562
30	      C6	5	67,175.062	2,625,349.500	470,706.156
31	      C7	5			
32	      C8	5			
33	      C9	5			
34	      C10	5			
35	      C11	5			
36	      C12	5			
37	      D1	5	67,674.719	2,586,320.250	434,143.062
38	      D2	5	58,274.172	2,692,716.250	412,234.406
39	      D3	5	60,782.891	2,606,723.000	407,177.938
40	      D4	5	69,360.703	2,460,075.000	498,445.625
41	      D5	5	60,509.410	2,541,688.750	428,318.594
42	      D6	5	63,206.113	2,541,459.000	448,067.562
43	      D7	5			
44	      D8	5			
45	      D9	5			
46	      D10	5			
47	      D11	5			
48	      D12	5			
49	      E1	5	71,470.273	2,749,809.500	446,796.000
50	      E2	5	67,999.062	2,404,155.500	484,327.531
51	      E3	5	70,662.469	2,419,610.500	494,042.562
52	      E4	5	64,008.938	2,342,822.750	473,549.938
53	      E5	5	70,032.828	2,433,661.000	495,922.125
54	      E6	5	71,392.117	2,485,683.750	494,589.750
55	      E7	5			
56	      E8	5			
57	      E9	5			
58	      E10	5			
59	      E11	5			
60	      E12	5			
61	      F1	5	65,638.367	2,817,642.500	423,765.719
62	      F2	5	65,866.438	2,661,889.000	479,718.250
63	      F3	5	66,163.102	2,554,260.000	426,554.688
64	      F4	5			
65	      F5	5			
66	      F6	5			
67	      F7	5			
68	      F8	5			
69	      F9	5			
70	      F10	5			
71	      F11	5			
72	      F12	5			
73	      G1	5	43,527.711	2,468,511.000	376,518.094
74	      G2	5	67,288.023	2,540,256.500	414,225.094
75	      G3	5	63,696.512	2,468,635.500	414,304.719
76	      G4	5			
77	      G5	5			
78	      G6	5			
79	      G7	5			
80	      G8	5			
81	      G9	5			
82	      G10	5			
83	      G11	5			
84	      G12	5			
85	      H1	5	22,620.074	2,507,194.000	410,449.562
86	      H2	5	60,948.820	2,317,897.750	436,909.500
87	      H3	5	92,388.812	2,433,085.000	447,967.250
88	      H4	5			
89	      H5	5			
90	      H6	5			
91	      H7	5			
92	      H8	5			
93	      H9	5			
94	      H10	5			
95	      H11	5			
96	      H12	5			
